text ~ "ioy*" order by key
text ~ "zpq*" order by key
text ~ "yue*" order by key
text ~ "yat*" order by key
text ~ "hvh*" order by key
text ~ "tab*" order by key
text ~ "fbw*" order by key
text ~ "yjw*" order by key
text ~ "ixk*" order by key
text ~ "qcq*" order by key
text ~ "tvr*" order by key
text ~ "gaq*" order by key
text ~ "cks*" order by key
text ~ "ria*" order by key
text ~ "lqe*" order by key
text ~ "ygo*" order by key
text ~ "aav*" order by key
text ~ "cpo*" order by key
text ~ "gaq*" order by key
text ~ "zuh*" order by key
text ~ "tzb*" order by key
text ~ "oys*" order by key
text ~ "hdd*" order by key
text ~ "isy*" order by key
text ~ "rjs*" order by key
text ~ "jlz*" order by key
text ~ "ixr*" order by key
text ~ "peg*" order by key
text ~ "ibj*" order by key
text ~ "bjv*" order by key
text ~ "xbs*" order by key
text ~ "ljj*" order by key
text ~ "rcp*" order by key
text ~ "rso*" order by key
text ~ "pmh*" order by key
text ~ "bbx*" order by key
text ~ "qul*" order by key
text ~ "bia*" order by key
text ~ "txy*" order by key
text ~ "imt*" order by key
text ~ "auk*" order by key
text ~ "cli*" order by key
text ~ "gmj*" order by key
text ~ "nfj*" order by key
text ~ "oqi*" order by key
text ~ "det*" order by key
text ~ "xle*" order by key
text ~ "yrm*" order by key
text ~ "txt*" order by key
text ~ "tyf*" order by key
text ~ "tbv*" order by key
text ~ "oxi*" order by key
text ~ "owk*" order by key
text ~ "uyf*" order by key
text ~ "yee*" order by key
text ~ "iod*" order by key
text ~ "ptu*" order by key
text ~ "lbu*" order by key
text ~ "imc*" order by key
text ~ "wve*" order by key
text ~ "iuq*" order by key
text ~ "eua*" order by key
text ~ "fnt*" order by key
text ~ "jnx*" order by key
text ~ "xfz*" order by key
text ~ "mvp*" order by key
text ~ "law*" order by key
text ~ "lzy*" order by key
text ~ "qhb*" order by key
text ~ "afl*" order by key
text ~ "izy*" order by key
text ~ "ktg*" order by key
text ~ "sxo*" order by key
text ~ "tqv*" order by key
text ~ "xut*" order by key
text ~ "brt*" order by key
text ~ "bdb*" order by key
text ~ "qku*" order by key
text ~ "wps*" order by key
text ~ "tbr*" order by key
text ~ "qjm*" order by key
text ~ "hvu*" order by key
text ~ "tco*" order by key
text ~ "dpl*" order by key
text ~ "uen*" order by key
text ~ "gem*" order by key
text ~ "plf*" order by key
text ~ "ejo*" order by key
text ~ "yam*" order by key
text ~ "lin*" order by key
text ~ "mmu*" order by key
text ~ "zsh*" order by key
text ~ "tnn*" order by key
text ~ "oda*" order by key
text ~ "ono*" order by key
text ~ "chz*" order by key
text ~ "nzd*" order by key
text ~ "hae*" order by key
text ~ "xyb*" order by key
text ~ "snc*" order by key
text ~ "rxe*" order by key
text ~ "pkb*" order by key
text ~ "evt*" order by key
text ~ "oie*" order by key
text ~ "nqv*" order by key
text ~ "gtq*" order by key
text ~ "tlp*" order by key
text ~ "gxr*" order by key
text ~ "oyh*" order by key
text ~ "rsh*" order by key
text ~ "gic*" order by key
text ~ "sie*" order by key
text ~ "lox*" order by key
text ~ "ypc*" order by key
text ~ "suh*" order by key
text ~ "qeh*" order by key
text ~ "slx*" order by key
text ~ "qao*" order by key
text ~ "ogf*" order by key
text ~ "kmb*" order by key
text ~ "jaw*" order by key
text ~ "gfp*" order by key
text ~ "ptq*" order by key
text ~ "lnb*" order by key
text ~ "hro*" order by key
text ~ "hdl*" order by key
text ~ "ijg*" order by key
text ~ "pvw*" order by key
text ~ "hkb*" order by key
text ~ "dwz*" order by key
text ~ "tqc*" order by key
text ~ "dxe*" order by key
text ~ "uof*" order by key
text ~ "myy*" order by key
text ~ "wsf*" order by key
text ~ "rht*" order by key
text ~ "qcy*" order by key
text ~ "die*" order by key
text ~ "rwl*" order by key
text ~ "xfp*" order by key
text ~ "ylz*" order by key
text ~ "nnf*" order by key
text ~ "ylc*" order by key
text ~ "bhk*" order by key
text ~ "lqt*" order by key
text ~ "zvb*" order by key
text ~ "ziy*" order by key
text ~ "vjh*" order by key
text ~ "ilv*" order by key
text ~ "qfv*" order by key
